Sum of Deaths,Column Labels,,,,,,,
Row Labels,Jul,Jun,May,Apr,Mar,Feb,Jan,Grand Total
Gambia,98,41,31,30,9,0,0,209
Rwanda,108,59,2,0,0,0,0,169
Botswana,28,30,31,30,1,0,0,120
Liechtenstein,27,31,31,27,0,0,0,116
Burundi,27,30,31,18,0,0,0,106
Lesotho,98,0,0,0,0,0,0,98
Namibia,72,0,0,0,0,0,0,72
Western Sahara,27,30,6,0,0,0,0,63
Uganda,6,0,0,0,0,0,0,6
Papua New Guinea,2,0,0,0,0,0,0,2
Laos,0,0,0,0,0,0,0,0
Timor-Leste,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0
Greenland,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0
Mongolia,0,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0,0
Vietnam,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0
Holy See,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0
Grand Total,15709667,13309053,9609604,4311214,397601,46875,889,43384903
